key,update-moment,start-period,end-period,picture-link,slogan,web-document
banner-01,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-02,2022/06/06 00:29,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-03,2022/05/06 00:00,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-04,2020/12/31 23:59,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-05,2022/04/03 12:30,2022/06/06 00:29,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-06,2022/04/03 12:30,2022/05/06 00:00,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-07,2022/04/03 12:30,2020/12/31 23:59,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-08,2022/04/03 12:30,2022/04/03 12:00,2022/06/06 00:29,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-09,2022/04/03 12:30,2022/04/03 12:00,2022/05/06 00:00,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-10,2022/04/03 12:30,2022/04/03 12:00,2020/12/31 23:59,https://leetcode.com/,Got Fanta?,https://www.elcorteingles.es
banner-11,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://p/a.b/c,Got Fanta?,https://www.elcorteingles.es
banner-12,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,G,https://www.elcorteingles.es
banner-13,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Go,https://www.elcorteingles.es
banner-14,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium,https://www.elcorteingles.es
banner-15,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium.,https://www.elcorteingles.es
banner-16,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Sed ut perspiciatis unde omnis i,https://www.elcorteingles.es
banner-17,2022/04/03 12:30,2022/04/03 12:00,2022/04/03 12:00,https://leetcode.com/,Got Fanta?,https://p/a.b/c
