key,key:practicum,title,overview,start-date,end-date,more-info
session-practicum-01,practicum-01,Laboratory 1,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-02,practicum-01,L,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-03,practicum-01,La,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-04,practicum-01,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-05,practicum-01,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium.,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-06,practicum-01,"system.out.println(""hello world"")",First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-07,practicum-01,战争战争战争,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-08,practicum-01,Laboratory 1,F,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-09,practicum-01,Laboratory 1,Fi,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-10,practicum-01,Laboratory 1,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium. t,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-11,practicum-01,Laboratory 1,Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium. to,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-12,practicum-01,Laboratory 1,¨¨¨¨¨_______,2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-13,practicum-01,Laboratory 1,"window.alert(""sometext"")",2022/06/06 12:00,2022/06/06 12:30,https://leetcode.com/
session-practicum-14,practicum-01,Laboratory 1,First Overview Of The Subject,2022/06/06 00:00,2022/06/06 00:30,https://leetcode.com/
session-practicum-15,practicum-01,Laboratory 1,First Overview Of The Subject,2021/01/01 00:00,2021/01/01 00:30,https://leetcode.com/
session-practicum-16,practicum-01,Laboratory 1,First Overview Of The Subject,2020/12/31 23:59,2021/02/28 00:00,https://leetcode.com/
session-practicum-17,practicum-01,Laboratory 1,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,null
session-practicum-18,practicum-01,Laboratory 1,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,
session-practicum-19,practicum-01,Laboratory 1,First Overview Of The Subject,2022/06/06 12:00,2022/06/06 12:30,https://a.b/c?
